computer_time,GPS_time,latitude,longitude,altitude,track,mode
1648579253.828100,1648579254,71.328731833,-156.692535667,9.7,0.0,3
1648579254.835019,1648579255,71.328732,-156.692535333,9.8,0.0,3
1648579255.842364,1648579256,71.328733833,-156.6925295,10.3,0.0,3
1648579256.815550,1648579257,71.328734833,-156.692526833,10.5,0.0,3
1648579257.822769,1648579258,71.328735333,-156.692524833,10.7,0.0,3
1648579258.829256,1648579259,71.328735667,-156.692524333,10.8,0.0,3
1648579259.836459,1648579260,71.328736167,-156.692522667,11.0,0.0,3
1648579260.842931,1648579261,71.3287375,-156.692518833,11.5,0.0,3
1648579261.852150,1648579262,71.328738167,-156.692517333,11.7,0.0,3
1648579262.858831,1648579263,71.328738667,-156.6925165,11.7,0.0,3
1648579263.865201,1648579264,71.328738833,-156.692517,11.6,0.0,3
1648579264.871513,1648579265,71.3287395,-156.692515667,11.8,0.0,3
1648579265.878243,1648579266,71.328739667,-156.6925155,11.9,0.0,3
1648579266.807012,1648579267,71.328740333,-156.692514667,12.2,0.0,3
1648579267.813121,1648579268,71.328740667,-156.692514333,12.3,0.0,3
1648579268.819521,1648579269,71.328741,-156.692514,12.3,0.0,3
1648579269.826112,1648579270,71.328742,-156.692510833,12.6,0.0,3
1648579270.832410,1648579271,71.328743,-156.692508,12.8,0.0,3
1648579271.839215,1648579272,71.328743667,-156.692507167,12.8,0.0,3
1648579272.846017,1648579273,71.328744333,-156.692505667,12.7,0.0,3
1648579273.852854,1648579274,71.328744667,-156.692504833,12.6,0.0,3
1648579274.859858,1648579275,71.328744833,-156.692505,12.6,0.0,3
1648579275.866500,1648579276,71.328745,-156.692505,12.5,0.0,3
1648579276.873264,1648579277,71.328745167,-156.692505,12.4,0.0,3
1648579277.845953,1648579278,71.328745333,-156.692505167,12.4,0.0,3
1648579278.852678,1648579279,71.328745667,-156.692505167,12.3,0.0,3
1648579279.859530,1648579280,71.328745833,-156.692505167,12.3,0.0,3
1648579280.866679,1648579281,71.328746,-156.692505333,12.2,0.0,3
1648579281.873441,1648579282,71.328746167,-156.692505667,12.1,0.0,3
1648579282.880392,1648579283,71.328746333,-156.692506,12.1,0.0,3
1648579283.887273,1648579284,71.328746667,-156.692506333,12.1,0.0,3
1648579284.793230,1648579285,71.328747,-156.692506167,12.1,0.0,3
1648579285.800214,1648579286,71.328747167,-156.692505833,12.1,0.0,3
1648579286.806660,1648579287,71.328747833,-156.692504,12.1,0.0,3
1648579287.813797,1648579288,71.328748333,-156.692503,12.1,0.0,3
1648579288.820665,1648579289,71.328748667,-156.692502833,11.9,0.0,3
1648579289.827599,1648579290,71.328748833,-156.692502167,11.8,0.0,3
